C00470864,VOTE GEORGE COOPER INC,P,P20002069
C00471367,HEUPEL FOR PRESIDENT,P,P20002085
C00471417,PAC; THE,P,P20001905
C00484170,PRAETORIAN PARTY; THE,P,P20002192
C00485458,NICKOLAS CUEVAS 2012,P,P80004823
C00485607,TANNER CLINE MCCUMBER BUSH POLITICAL CAMPAIGN FUND,P,P20002226
C00485656,SAVANNAH JEWEL MCCUMBER BUSH POLITICAL CAMPAIGN FUND,P,P20002234
C00486001,GEORGE BAILEY FOR PRESIDENT 2012,P,P80003957
C00486266,PAUL RUSSELL ROSENBERGER PRES USA 2012 TO BUILD A BEAUTIFUL WORLD AT PEACE POLLUTION FREE ,P,P40003329
C00486506,JIMENEZ FOR PRESIDENT 2012,P,P20002242
C00487728,DANY LAPORTE COMMITTEE,P,P20002291
C00488635,FRIENDS OF JAMES GREY 2012,P,P20002317
C00489195,YINKA ABOSEDE ADESHINA,P,P60004793
C00490060,COMMITTEE TO ELECT DAN W ROZELLE PRESIDENT,P,P20002341
C00491035,COMMITTEE TO ELECT R. KENNETH JONES, PRESIDENT OF THE UNITED STATES OF AMERICA ,P,P20002366
C00491399,COMMITTEE TO ELECT JIM RUNDBERG,P,P20002051
C00491498,JOHN R HOELZEL JR FOR PRESIDENT OF THE UNITED STATES,P,P60003571
C00491902,ARAGON FOR PRESIDENT 2012,P,P20002374
C00492017,TUBBS4PRESIDENT2012,P,P20002408
C00492199,PEOPLE FOR DAVID A LARSON,P,P20002416
C00492447,MICHAEL J MANLEY FOR PRESIDENT 2012,P,P20002432
C00492546,DENAME, MICHAEL JR,P,P20002440
C00492603,LEVINSON FOR PRESIDENT 2012,P,
C00492694,RAMOS FOR AMERICA,P,P20002481
C00492744,JOHN DUMMETT FOR PRESIDENT COMMITTEE,P,P20002499
C00492892,TIM KALEMKARIAN P16 COMMITTEE,P,P60003175
C00492942,JIMMY MCMILLAN 2012 COMMITTEE,P,
C00492959,ANDY MARTIN CAMPAIGN COMMITTEE,P,P00003731
C00493973,KEVIN NELSON 2012,P,P20002531
C00494823,JARED BLANKENSHIP FOR PRESIDENT,P,P20002598
C00494963,PAUL CHEHADE NATIONAL ELECTION COMMITTEE,P,P20002580
C00495051,ELMER FUDD FOR GURLEY L MARTIN FOR PRESIDENT,P,P20002622
C00495069,MADAME PRESIDENT TITTLE,P,P20002630
C00495127,JEFF BAREA 4 PREZ,P,P20002689
C00495424,JAMES SHINN FOR PRESIDENT PCC,P,P20002663
C00495606,FRIENDS OF ROY MOORE,P,P20002820
C00495622,GARY JOHNSON 2012 INC,P,P20002671
C00495739,MARK B GRAHAM FOR PRESIDENT 2016,P,P80003544
C00495747,FRIENDS OF JOHN REVELIS FOR PRESIDENT,P,P20002614
C00495788,RONALD DAVID JONES FOR PRESIDENT 2012,P,P20002705
C00495820,RON PAUL 2012 PRESIDENTIAL CAMPAIGN COMMITTEE INC.,P,P80000748
C00495895,HAROLD HEARD FOR PRESIDENT 2012,P,P10000016
C00496034,RICK SANTORUM FOR PRESIDENT, INC. (2012),P,P20002721
C00496067,FRIENDS OF HERMAN CAIN INC,P,P00003608
C00496117,KILGORE COMMITTEE,P,P20002747
C00496497,NEWT 2012,P,P60003654
C00496646,CAMPAIGN CLUB,P,P20002796
C00496976,GOOD GENE EDWARD SCOTT II'S BOBO AND SCOTT'S FAMILY'S HOLLY GROVE ARKANSAS ZIP CODE 72069 ,P,
C00497107,PRATTAS FOR PRESIDENT,P,P00003236
C00497164,EUGENE ROSELL HUNT JR,P,P20002861
C00497354,SOPHIA THE LOGOS,P,P20002937
C00497511,BACHMANN FOR PRESIDENT,P,H6MN06074
C00497552,CPOWERS CAMPAIGN,P,P20002986
C00497636,BYERLEY FOR PRESIDENT COMMITTEE 2012,P,P00002295
C00497735,HARDCASTLE PRESIDENTIAL COMMITTEE,P,P60003027
C00497750,DAVE MONTGOMERY FOR PRESIDENT,P,P20003034
C00497826,FRIENDSOFCRAIGENNIS,P,P20003018
C00498113,PAUL SIMS FOR PRESIDENT,P,P20003075
C00498147,DAVID ROBT FREY,P,P20003083
C00498220,MCCOTTER 2012,P,P20003109
C00498428,KENT L WILLIAMS FOR PRESIDENT,P,P20002283
C00498766,JOHN GREEN FERGUSON FOR USA PRESIDENT 2016,P,P20003141
C00498824,TAMI STAINFIELD FOR PRESIDENT,P,P20003158
C00499194,COMMITTEE TO ELECT LEAH LAX,P,P20003042
C00499681,NO NEED TO DELVE: HOFF FOR PRESIDENT IN TWELVE,P,P80000672
C00499723,DAVID JON SPONHEIM FOR PRESIDENT,P,P20003174
C00499830,AARON LEON AMMANN FOR PRESIDENT,P,P20003182
C00499855,COMMITTEE TO ELECT MAX RIEKSE,P,P20003190
C00500082,SILVIA STAGG FOR PRESIDENT CAMPAIGN COMMITTEE,P,P20003216
C00500231,DOC ADAMS FOR PRESIDENT,P,P20003232
C00500314,HARRY BRAUN FOR PRESIDENT,P,P20003257
C00500587,PERRY FOR PRESIDENT INC,P,P20003281
C00500652,COMMITTEE TO ELECT CHRIS PEDERSEN, THE,P,P20003307
C00500751,R BENEDICT MAYERS FOR PRESIDENT COMMITTEE,P,P20003323
C00500801,RICETOWN ROYAL REPUBLIC,P,P20003315
C00501064,GEORGE RHODES FOR PRESIDENT,P,P20003091
C00501346,WILDMAN FOR PRESIDENT COMMITTEE,P,P40003220
C00501593,CODY ROBERT JUDY FOR PRESIDENT 2012 U S C ELIGIBILITY CAMPAIGN,P,P20003372
C00501726,ROBERT JORDAN FOR PRESIDENT,P,P20003349
C00501874,MICHAEL SLOAN FOR PRESIDENT,P,P20003414
C00502724,RCJPAC,P,P80003783
C00502922,TURNER FOR PRESIDENT,P,P20003588
C00503029,COMMITTEE TO ELECT AURORA LOPEZ FOR PRESIDENT,P,P20003612
C00503532,KELCEY WILSON FOR PRESIDENT,P,P80004146
C00503763,COMMITTEE TO ELECT KARIN L SWANSON FOR PRESIDENT,P,P20003711
C00503771,AVERAGE JOE FOR PRESIDENT JOE STORY, THE,P,P20003653
C00503912,KATHYERN LANE FOR THE PEOPLES PRESIDENT,P,P20003729
C00504118,ROASEAU FOR PRESIDENT,P,P20003695
C00504449,KENNETH GODWIN FOR PREZ,P,P20003745
C00504712,STILL 2012,P,P20003828
C00504878,HOWARDKNEPPER PERSIDENTIAL CAMPAIGN,P,P20003844
C00505040,TIMMY STRICKLAND FOR PRESIDENT,P,P20003604
C00505230,DOC GOULD FOR PRESIDENT,P,P20003893
C00505263,STEWART ALEXANDER FOR PRESIDENT CAMPAIGN COMMITTEE,P,P20003968
C00505271,COMMITTEE FOR MICHAEL LERMAN,P,P20003976
C00505339,TODD RICHARD GLORE FOR PRESIDENT,P,P20003901
C00505347,DR TERRY JONES 2012,P,P20003877
C00505420,COMMITTEE FOR DANIEL J BEJGER PRESIDENT OF THE UNITED STATES,P,P20004008
C00505727,ZUBI DIAMOND U S ECONOMIC RECOVERY CAMPAIGN COMMITTEE,P,P20004016
C00505800,JILL STEIN FOR PRESIDENT,P,P20003984
C00506055,PEOPLE FOR ROBBY WELLS,P,P20004065
C00506071,FRIENDS OF D LOREN JOHNSON SR,P,P20004073
C00506246,VOXXNOVA FOR FRANK WEYER,P,P20004040
C00506337,RELUCTANT PATRIOT DAVID ANDREW CHRISTENSON (TRPDAC); THE,P,P20004081
C00506402,VOTE!  WHEELOCK!  2016,P,P20004099
C00506667,NEW NATIONALIST PARTY, THE,P,P20004131
C00506782,OHARA 2012,P,P20004149
C00506840,JONATHAN AND JOHN LEE FOR PRESIDENT,P,P20004156
C00506873,DEMOCRAT,P,P20004115
C00507020,FINLEY FOR PRESIDENT,P,P20004180
C00507285,COMMITTEE TO ELECT RONALD K HEBERT PRESIDENT,P,P20004230
C00507848,COMMITTEE TO ELECT ADRIENNE HIRSCHFELDER,P,P20004339
C00507947,FRIENDS OF MISS BETSY PAULINE ELGAR COMMITTEE,P,P20003851
C00508564,GREENE FOR OFFICE,P,P20004396
C00508937,LARRY DUDLEY FOR PRESIDENT,P,P20004438
C00509042,BUSSINESS THAT TRAVEL; THE,P,P20004446
C00509414,GREGORY NABEL FOR PRESIDENT ELECTION 2012,P,P20004461
C00509638,JENNIFER NEY FOR PRESIDENT,P,P20004487
C00509943,COMMITTEE TO ELECT SAM SLOAN,P,P20004537
C00510354,COMMITTEE TO ELECT LAURIE ROTH PRESIDENT,P,P20004552
C00510388,HYTECH INC CAMPAIGN 3000 USA INC,P,P20004560
C00510420,CAMPAIGN 3000 USA INC,P,P20004578
C00510610,MISS JOY WAYMIRE 4 PRESIDENT,P,P20004370
C00510628,RUN FOR PRESIDENT UNITED STATE AMERICAN JACOB BAKER,P,P20004586
C00511774,MICHAEL DWAYNE JENKINS PRIORITIES PARTY FOR PRESIDENT OF THE UNITED STATES OF AMERICA,P,P60002086
C00512780,MISSIONARY TRACEY ELAINE BLAIR CAMPAIGN US PRESIDENT ELECTION AS WRITE-IN CANDIDATE,P,P20004610
C00512996,TECHNICIANS NOT POLTICIANS FOR KEVIN WEST FOR PRESIDENT,P,P20004701
C00513267,DR DAMIAN STONE PRESIDENTIAL ELECTION CAMPAIGN COMMITTEE; THE,P,P20004503
C00513275,STEPHEN ROLLINS 2012 PRESIDENTIAL CAMPAIGN COMMITTEE,P,P20004743
C00513283,CARROLL FOR PRESIDENT,P,P20004735
C00513630,DAVID CHRISTOPHER HOLCOMB FOR PRESIDENT OF THE USA 2016,P,P20004719
C00514372,FROM ONE ALIEN TO ANOTHER ALIEN LIL WAYNE DWAYNE MICHAEL CARTER JR PRESIDENT CARTER WILL ,P,P20004768
C00514661,RAPP2012-LANE RAPP FOR PRESIDENT,P,P20004792
C00515536,PRO 2012,P,P20004818
C00515726,JOHN ANSON LEE FOR PRESIDENT COMMITTEE,P,P20004644
C00515734,WILEY DRAKE 4 PRESIDENT,P,P20004834
C00516690,BRANNAN CAMPAIGN,P,P80005341
C00516815,COMMITTEE TO ELECT ANISA ABD EL FATTAH FOR PRESIDENT 2012; THE,P,P20004776
C00516823,PROUD FOR PRESIDENT,P,P20004842
C00517334,DUCEY FOR PRESIDENT,P,P60004033
C00518753,WOLFE 2012,P,P20004875
C00518886,SHARON HARRELL STRATEGIC DEFENCE FUND OR SHARON HARRELL NON PROFIT CORPORATION,P,P00004523
C00520098,WILSA PIVERGER WMDCPINC,P,P20004891
C00520304,ROBERT SANDERA FOR PRESIDENT COMMITTEE,P,P20004909
